tiers_key,ca,TOTMVTC,TOTMVTD,TOTMVTCnet,TOTMVTDnet,ENG,MontImp,encours,Encours_Moyen_Debiteur,Encours_Moyen_crediteur,INCIDENTCHQ,INCIDENTCHQ_R,INCIDENTCHQ_N_R,Interdit,InterditAct,NBIMP,Interet_Non_ECHU,Encaiss_Recu,NBECHEANCE,Code_Classe,Var Signalitiques.Code_Profession,Var Signalitiques.Profession,Var Signalitiques.Code_Activite_Economique,Var Signalitiques.Activite_Economique,Var Signalitiques.Code_secteur_activite,Var Signalitiques.Secteur_Activite,Var Signalitiques.Ville,Var Signalitiques.Code_Postal,Var Signalitiques.Date_Ouverture
1186,862137.969,633964.1,-846189.552,633964.1,-844494.655,,,,,225959.176079,,,,,,,,,,,P0999,AUTRES ENTREPRENEURS INDIVIDUELS ARTISANS,,,,,JAAFAR 1,2083.0,2012-03-22
1399,,0.0,-140.726,0.0,-136.033,,,,494.707745,,,,,,,,,,,,,,ACA01,PECHE EN MER,AC,"AGRICULTURE, SYLVICULTURE ET PECHE",CEDEX FRANCE,0.0,1958-04-05
1443,,0.0,-78.083,0.0,-77.633,,,,62.669871,,,,,,,,,,,,,,CAF01,MEUNERIE,CA,INDUSTRIE MANUFACTURIERE,REPUBLIQUE,1001.0,1958-04-05
1608,2190319.876,2191149.36,-2110599.264,2191149.36,-2102967.304,,,,56435.603531,10088.561284,,,,,,,,,,,,,HAD02,SERVICES DE DEMENAGEMENT,HA,TRANSPORTS ET ENTREPOSAGE,TUNIS BELVEDERE,1002.0,2017-06-06
1615,,0.0,-250.791,0.0,-240.317,1657,0.0,1657,754.329904,,,,,,,,,,,1.0,P1499,AUTRES CADRES SALARIES,,,,,MONFLEURY,1089.0,1971-08-09
1714,,0.0,-240.256,0.0,-228.822,,,,1181.178523,,,,,,,,,,,1.0,,,COF01,FABRICATION D'ELEMENTS EN BETON POUR LA CONSTRUCTION,CO,INDUSTRIE MANUFACTURIERE,HABIB THAMEUR,1069.0,1958-04-05
1847,2933181.84,2975072.677,-2937300.442,2975063.537,-2934193.613,,,,150.169873,187379.878939,,,,,,,,,,,,,NFD99,AUTRES ACTIVITES DE SOUTIEN AUX ENTREPRISES N.C.A.,NF,ACTIVITES DE SERVICES ADMINISTRATIFS ET DE SOUTIEN,BAB BHAR,1000.0,2020-06-25
1867,,0.0,-8142.089,0.0,-8085.445,,,,,8111.047926,,,,,,,,,,,,,AAA01,CULTURE DE CEREALES (À L'EXCEPTION DU RIZ),AA,"AGRICULTURE, SYLVICULTURE ET PECHE",BORJ ALI ERRAIS,1009.0,2009-10-19
1935,,,,,,,,,774.191101,,,,,,,,,,,0.0,,,AAB99,AUTRES CULTURES PERMANENTES,AA,"AGRICULTURE, SYLVICULTURE ET PECHE",BAB BHAR,1000.0,1958-04-05
2067,57641405.181,59516148.119,-58882911.851,59515999.369,-58882032.467,"889583,81",0.0,"889583,81",,4039765.761435,,,,,,,,,,,,,CJA02,AUTRE IMPRIMERIE (LABEUR),CJ,INDUSTRIE MANUFACTURIERE,RADES,2040.0,2013-07-22
2109,65701090.468,74257348.517,-67576204.689,69257348.517,-67549401.872,"36282919,726",0.0,"36282919,726",1789918.225772,1288153.884106,,,,,O,,33019884.043,-3678998.394,59.0,,,,HAA99,TRANSPORT FERROVIAIRE INTERURBAIN DE VOYAGEURS,HA,TRANSPORTS ET ENTREPOSAGE,BAB BHAR,1000.0,2018-02-13
2120,,0.0,-220.453,0.0,-210.36,,,,1044.592545,,,,,,,,,,,,,,AAB99,AUTRES CULTURES PERMANENTES,AA,"AGRICULTURE, SYLVICULTURE ET PECHE",TUNIS BELVEDERE,1002.0,1958-04-05
2164,,0.0,-341.097,0.0,-321.86,,,,1357.904605,,,,,,,,,,,,P9904,SANS PROFESSION,,,,,TUNIS BELVEDERE,1002.0,1958-11-10
2265,13305269.347,28304507.957,-27667979.313,18498153.96,-27654280.867,"25134064,68",0.0,"25134064,68",3279.380526,428787.114,,,,O,O,,8064130.633,-1843881.233,272.0,,,,FAA99,PROMOTION IMMOBILIERE,FA,CONSTRUCTION,BAB BHAR,1000.0,2021-07-23
2428,,0.0,-98.588,0.0,-96.155,,,,262.395345,,,,,,,,,,,,,,GBG07,COMMERCE DE GROS D'AUTRES PRODUITS INTERMEDIAIRES,GB,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,MEGRINE,2033.0,1958-04-05
2477,,0.0,-151.953,0.0,-146.499,,,,572.18683,,,,,,,,,,,,,,KCB02,ACTIVITES DES AGENTS ET COURTIERS D'ASSURANCES,KC,ACTIVITES FINANCIERES ET D'ASSURANCE,HABIB THAMEUR,1069.0,1960-03-22
2836,487332773.18,489823261.507,-505691503.692,489823236.507,-505688943.226,"20151919,629",0.0,"20151919,629",,43612781.205093,,,,,,,1430801.123,-2058553.3,66.0,,,,CDA99,FABRICATION DE PRODUITS À BASE DE TABAC,CD,INDUSTRIE MANUFACTURIERE,REPUBLIQUE,1001.0,2021-09-20
2849,680322.239,811924.089,-809356.855,811924.089,-807863.18,"383333,334",0.0,"383333,334",44.331169,40797.755334,,,,,,,64404.442,-48981.482,14.0,,,,JFB01,ACTIVITES DES AGENCES DE PRESSE,JF,INFORMATION ET COMMUNICATION,REPUBLIQUE,1001.0,1963-10-10
2872,,0.0,-314.111,0.0,-297.492,,,,1177.541367,,,,,,,,,,,,,,CEE99,FABRICATION D'AUTRES TEXTILES N.C.A.,CE,INDUSTRIE MANUFACTURIERE,BAB BHAR,1000.0,1958-04-05
2994,3136760.09,3237847.66,-3628173.937,3237847.66,-3627013.218,,,,,63119.342652,,,,,,,,,,,,,CSC02,FABRICATION D'AUTRES FILS ET CABLES ELECTRONIQUES OU ELECTRIQUES,CS,INDUSTRIE MANUFACTURIERE,REPUBLIQUE,1001.0,2018-10-31
3057,,0.0,-204.356,0.0,-195.353,,,,933.570838,,,,,,,,,,,,,,FBC99,CONSTRUCTION D'AUTRES OUVRAGES DE GENIE CIVIL N.C.A.,FB,CONSTRUCTION,LE BARDO,2000.0,1964-04-15
3289,,0.0,-176.525,0.0,-169.407,,,,741.637909,,,,,,,,,,,,,,KAA01,ACTIVITES DE BANQUE CENTRALE,KA,ACTIVITES FINANCIERES ET D'ASSURANCE,BAB BHAR,1000.0,1961-10-08
3375,15455883.086,42955883.086,-42756855.097,42955883.086,-42753749.827,"4460659,635",0.0,"4460659,635",281573.588895,101033.885679,,,,,,,,,,,,,GAA01,COMMERCE DE VOITURES ET DE VEHICULES AUTOMOBILES LEGERS,GA,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,CHARGUIA 1,2035.0,2007-02-21
3618,,0.0,-648.172,0.0,-609.111,,,,3994.614046,,,,,,,1.0,,,1.0,5.0,,,FCC04,TRAVAUX DE MIROITERIE DE BATIMENTS; VITRERIE,FC,CONSTRUCTION,,,2022-09-27
3637,2518396.071,2870427.09,-2567725.949,2681482.27,-2560705.504,"257790,418",0.0,"257790,418",,280216.602898,,,,,,,345.01,-154779.3,6.0,,,,AAG99,"CHASSE, PIEGEAGE ET SERVICES ANNEXES",AA,"AGRICULTURE, SYLVICULTURE ET PECHE",TUNIS BELVEDERE,1002.0,2021-06-07
3761,1067339207.499,1071697594.629,-1081780523.604,1071697594.629,-1081778102.312,,,,330882.547071,63916477.868482,1.0,,1.0,O,O,,,,,,,,OAC99,SECURITE SOCIALE OBLIGATOIRE,OA,ADMINISTRATION PUBLIQUE,,2083.0,2022-08-02
3840,,0.0,-184.424,0.0,-176.771,,,,796.11229,,,,,,,,,,,,,,FAA99,PROMOTION IMMOBILIERE,FA,CONSTRUCTION,BAB BHAR,1000.0,1958-04-05
3884,,0.0,-474.277,0.0,-442.115,,,,2247.999926,,,,,,,,,,,1.0,P9904,SANS PROFESSION,,,,,BAB EL ALOUJ,1006.0,1992-04-16
3893,89.924,89.924,-209.843,89.924,-203.355,,,,457.64609,,,,,,,,,,,,,,AAB99,AUTRES CULTURES PERMANENTES,AA,"AGRICULTURE, SYLVICULTURE ET PECHE",BAB BHAR,1000.0,1958-07-02
3919,,,,,,,,,,0.0,,,,,,,,,,,,,CQA01,FABRICATION DE STRUCTURES METALLIQUES ET DE PARTIES DE STRUCTURES,CQ,INDUSTRIE MANUFACTURIERE,BEN AROUS,2013.0,1994-11-02
4308,,0.0,-248.095,0.0,-236.13,,,,1235.251808,,,,,,,,,,,,,,BDA02,"EXPLOITATION DE GRAVIERES ET SABLIERES, EXTRACTION D'ARGILES ET DE KAOLIN",BD,INDUSTRIES EXTRACTIVES,HABIB THAMEUR,1069.0,1958-04-05
4583,,0.0,-248.867,0.0,-238.58,,,,741.497586,,,,,,,,,,,,,,GCF02,COMMERCE DE DETAIL DE JOURNAUX ET PAPETERIE EN MAGASIN SPECIALISE,,,HABIB THAMEUR,1069.0,1977-10-19
4584,7000.0,7056.0,-14405.863,7056.0,-14280.969,128020,0.0,128020,1133.437372,7828.536986,,,,,,,,,,,,,CSF99,FABRICATION D'AUTRES MATERIELS ELECTRIQUES,CS,INDUSTRIE MANUFACTURIERE,GROMBALIA,8030.0,2017-12-19
4586,,0.0,-140.93,0.0,-136.224,,,,496.170186,0.0,,,,,,,,,,,P1099,AUTRES COMMERCANTS ET ASSIMILES,,,,,REPUBLIQUE,1001.0,2023-04-12
5113,,,,,,,,,84198.778673,,,,,,,,,,,0.0,,,CPE01,FONDERIE DE FONTE,,,REPUBLIQUE,1001.0,1958-04-05
6233,1856529.43,2311120.513,-2477772.085,2311120.513,-2476891.929,,,,5.109821,257669.107219,,,,,,,,,,,,,QAB01,ACTIVITE DES MEDECINS GENERALISTES,QA,SANTE HUMAINE ET ACTION SOCIALE,EL HAFSIA,1059.0,1958-04-05
6300,2936.741,2936.741,-980.421,2936.741,-525.148,"16893,297",0.0,"16893,297",1910.210517,1824.12766,,,,,,,,,,0.0,,,GAC02,COMMERCE DE DETAIL D'EQUIPEMENTS AUTOMOBILES,GA,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,CHARGUIA 1,2035.0,2008-06-11
6334,,0.0,-175.092,0.0,-168.071,,,,731.74272,,,,,,,,,,,,,,CYA02,REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES,CY,INDUSTRIE MANUFACTURIERE,EZZAHRA,2034.0,1958-04-05
6604,,0.0,-142.8,0.0,-142.8,,,,,1211.157643,,,,,,,,,,,,,CAE01,EXPLOITATION DE LAITERIES ET FABRICATION DE FROMAGE,CA,INDUSTRIE MANUFACTURIERE,EL OMRANE,1005.0,1992-11-20
6943,,,,,,,,,,0.0,,,,,,,,,,,,,GBA04,"INTERMEDIAIRES DU COMMERCE EN MACHINES, EQUIPEMENTS INDUSTRIELS, NAVIRES ET AVIONS",GB,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,TUNIS BELVEDERE,1002.0,1958-04-05
7004,161110.59,195259.744,-187509.057,195259.744,-186838.095,,,,185.776019,1939.074887,,,,,,,,,6.0,,,,AAB06,CULTURE D'OLIVIERS,AA,"AGRICULTURE, SYLVICULTURE ET PECHE",CHARGUIA 1,2035.0,1958-04-05
7206,86.838,253680.528,-300201.685,253680.528,-300198.407,"630170,578",0.0,"630170,578",,43445.267449,,,,,,,,,,,,,AAE99,CULTURE ET ELEVAGE ASSOCIES,AA,"AGRICULTURE, SYLVICULTURE ET PECHE",HABIB THAMEUR,1069.0,1958-04-05
7597,,0.0,-1172.384,0.0,-985.8,,,,6294.307857,,,,,,,,,,,5.0,P9904,SANS PROFESSION,,,,,CITE BELVEDERE,7000.0,1973-01-24
7695,,0.0,-1380.417,0.0,-1260.315,60831,60831.0,0,8304.116923,,,,,,,1.0,,,1.0,5.0,,,HAA99,TRANSPORT FERROVIAIRE INTERURBAIN DE VOYAGEURS,HA,TRANSPORTS ET ENTREPOSAGE,RADES,2040.0,1958-04-05
8039,,0.0,-1149.256,0.0,-964.893,,,,6141.32161,,,,,,,,,,,,,,FAA99,PROMOTION IMMOBILIERE,FA,CONSTRUCTION,,,2023-02-01
8493,295109.571,295916.705,-296411.56,295916.705,-295273.542,"417307,903",410017.45,"7290,453",131.635887,8247.511293,,,,,O,,,-209309.443,,,,,JFB01,ACTIVITES DES AGENCES DE PRESSE,JF,INFORMATION ET COMMUNICATION,BAB BHAR,1000.0,2017-10-31
8782,5040.54,5040.54,-30179.099,5040.54,-29629.319,"12199,99",0.0,"12199,99",,14970.227301,,,,,,,,,,,,,AAB05,CULTURE D'AUTRES FRUITS D'ARBRES OU D'ARBUSTES ET DE FRUITS À COQUE,AA,"AGRICULTURE, SYLVICULTURE ET PECHE",BAB BHAR,1000.0,1958-04-05
9018,1300.0,1300.0,-1273.36,1300.0,-1262.65,,,,0.165506,365.896821,,,,,,,,,,,,,CRG99,FABRICATION DE MATERIELS OPTIQUE ET PHOTOGRAPHIQUE,CR,INDUSTRIE MANUFACTURIERE,EL MENZAH 6,2091.0,1987-10-28
9139,,0.0,-649.119,0.0,-599.988,,,,3416.542616,0.0,,,,,,,,,,,,,FAB99,CONSTRUCTION DE BATIMENTS RESIDENTIELS ET NON RESIDENTIELS,FA,CONSTRUCTION,,,2023-02-01
9323,,0.0,-134.044,0.0,-129.804,,,,448.621887,,,,,,,,,,,,,,MAA99,ACTIVITES JURIDIQUES,MA,"ACTIVITES SPECIALISEES, SCIENTIFIQUES ET TECHNIQUES",REPUBLIQUE,1001.0,1958-04-05
9507,,0.0,-142.8,0.0,-142.8,5800,0.0,5800,0.963643,52.783282,,,,,,,,,,,,,GBD05,COMMERCE DE GROS DE PARFUMERIE ET DE PRODUITS DE BEAUTE,GB,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,BAB BHAR,1000.0,1986-12-16
10952,,14100.683,-15054.941,14100.683,-14906.251,"11326,521",0.0,"11326,521",2255.756813,0.0,,,,,,,1675.035,-6038.302,137.0,,P9901,RETRAITES,,,,,BEN AROUS,2013.0,2015-04-06
10971,,389.952,-268.669,389.952,-176.053,,,,201.925208,0.0,,,,,,,,,,,,,GCE04,COMMERCE DE DETAIL D'APPAREILS ELECTROMENAGERS EN MAGASIN SPECIALISE,,,BAB BHAR,1000.0,1994-05-03
11049,400000.0,640000.0,-641609.729,640000.0,-640827.167,,,,78.827263,41662.600136,,,,,,,,,,,,,CRA01,FABRICATION DE COMPOSANTS ELECTRONIQUES,CR,INDUSTRIE MANUFACTURIERE,EL MENZAH 1,1004.0,1958-04-05
11212,,31.849,0.0,31.849,0.0,224670,0.0,224670,,1965.232112,,,,,,,,,,,,,CPD04,METALLURGIE DU CUIVRE,CP,INDUSTRIE MANUFACTURIERE,,2014.0,2015-02-19
11267,,0.0,-187.254,0.0,-182.947,,,,329.721616,,,,,,,,,,,,,,IAB99,HEBERGEMENT TOURISTIQUE ET AUTRE HEBERGEMENT DE COURTE DUREE,IA,HEBERGEMENT ET RESTAURATION,BAB BHAR,1000.0,1987-11-12
11474,10283.2,10283.2,-9919.4,10283.2,-9878.014,,,,,415.476534,,,,,,,,,,,,,NEC99,SERVICES D'AMENAGEMENT PAYSAGER,NE,ACTIVITES DE SERVICES ADMINISTRATIFS ET DE SOUTIEN,BAB BHAR,1000.0,1983-02-11
11505,1120437.261,764248.546,-1145498.221,764248.546,-1143283.6,,,,873.7864,75569.182115,,,,,,,,,,,,,MBB99,CONSEIL POUR LES AFFAIRES ET AUTRES CONSEILS DE GESTION,MB,"ACTIVITES SPECIALISEES, SCIENTIFIQUES ET TECHNIQUES",TUNIS BELVEDERE,1002.0,2015-01-19
11530,3740000.0,3740000.0,-3853572.189,3740000.0,-3853520.781,7250000,0.0,7250000,,79352.397915,,,,,,,1079533.445,-3853073.069,20.0,,,,KAD01,CREDIT-BAIL,KA,ACTIVITES FINANCIERES ET D'ASSURANCE,CITE EL MAHRAJENE,1082.0,1992-11-20
12396,,0.0,-1302.505,0.0,-373.335,"3522,161",0.0,"3522,161",3138.057438,0.0,,,,,,,,,,,,,NDB99,ACTIVITES LIEES AUX SYSTEMES DE SECURITE,ND,ACTIVITES DE SERVICES ADMINISTRATIFS ET DE SOUTIEN,,,2019-11-13
12857,563086.244,563086.244,-586335.526,563086.244,-585376.743,,,,,34977.235624,,,,,,,,,,,P0505,BIOLOGISTES,,,,,BAB BHAR,1000.0,1992-08-10
12868,,0.0,-161.749,0.0,-159.916,,,,159.232989,,,,,,,,,,,,,,IAD99,AUTRES HEBERGEMENTS,IA,HEBERGEMENT ET RESTAURATION,MEGRINE RIADH,2014.0,1992-09-18
12942,852214.172,38784504.022,-38888909.324,30784504.022,-38887780.576,1900000,0.0,1900000,13308.332021,86080.375619,,,,,,,0.0,-8686069.416,51.0,,,,GBA04,"INTERMEDIAIRES DU COMMERCE EN MACHINES, EQUIPEMENTS INDUSTRIELS, NAVIRES ET AVIONS",GB,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,ARIANA,2080.0,2020-11-11
13426,,,,,,,,,,0.0,,,,,,,,,,,,,GBG06,COMMERCE DE GROS DE PRODUITS CHIMIQUES,GB,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,BIR EL BEY,2055.0,1990-02-02
13514,856269.777,885868.762,-883213.575,885868.762,-882875.471,,,,37.24829,11945.973849,,,,,,,,,,,,,AAB05,CULTURE D'AUTRES FRUITS D'ARBRES OU D'ARBUSTES ET DE FRUITS À COQUE,AA,"AGRICULTURE, SYLVICULTURE ET PECHE",BAB BHAR,1000.0,1993-11-02
13673,,,,,,"39868,528",0.0,"39868,52786",618.29738,0.0,,,,,,,,,,,,,AAB99,AUTRES CULTURES PERMANENTES,AA,"AGRICULTURE, SYLVICULTURE ET PECHE",TUNIS,1006.0,1990-01-25
13773,437981.73,779817.26,-686972.663,450742.82,-681402.006,"787905,987",0.0,"787905,987",7418.963764,24802.184742,,,,,,,21532.527,-74648.031,17.0,,,,GCA03,COMMERCE DE DETAIL DE  PRODUITS DIVERS DE L'ARTISANAT,GC,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,REPUBLIQUE,1001.0,2021-01-08
14075,172191.001,172191.001,-183872.603,172191.001,-183373.695,,,,299.268953,3737.14466,,,,,,,,,,5.0,,,FCB02,TRAVAUX DE PLOMBERIE ET INSTALLATION DE CHAUFFAGE ET DE CONDITIONNEMENT D'AIR,FC,CONSTRUCTION,REPUBLIQUE,1001.0,1993-03-12
14093,400.0,400.0,-544.88,400.0,-521.42,,,,1585.782016,0.0,,,,,,,,,,0.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,SCA02,COIFFURE ET SOINS DE BEAUTE,,,SOUSSE,4000.0,2016-03-18
14095,,,,,,,,,,0.0,,,,,,,,,,,,,HAD01,TRANSPORTS ROUTIERS DE FRET,,,A 5E ET LAFAYETTE,1002.0,1994-02-18
14150,729.395,729.395,0.0,729.395,0.0,,,,,18782.075887,,,,,,,,,,,,,GAB99,ENTRETIEN ET REPARATION DE VEHICULES AUTOMOBILES,GA,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,CHARGUIA 1,2035.0,1996-11-15
14278,18600061.277,18626655.909,-18626655.909,18626655.909,-18626247.871,"25524746,961",2928913.627,"22595833,334",30.17986,1245126.646663,,,,,,2.0,9055885.049,-964984.223,52.0,,,,HAC99,AUTRES TRANSPORTS TERRESTRES DE VOYAGEURS N.C.A.,HA,TRANSPORTS ET ENTREPOSAGE,MONTPLAISIR,1073.0,2023-04-26
14346,31137428.962,70345735.245,-69912550.084,57399677.865,-69890878.484,"6368805,972",0.0,"6368805,972",2206443.377747,76179.82272,,,,,,,2392.86,-13113337.769,319.0,0.0,,,CAH02,"FABRICATION DE CACAO, CHOCOLAT ET DE PRODUITS DE CONFISERIE",CA,INDUSTRIE MANUFACTURIERE,ARIANA,2080.0,2020-02-07
14653,4019831.156,4843394.863,-4811515.343,4068292.749,-4789634.724,"3089555,769",0.0,"3089555,769",600227.720279,144952.351652,,,,,,,312075.11,-946761.187,355.0,,,,GAC01,COMMERCE DE GROS D'EQUIPEMENTS AUTOMOBILES,GA,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,BEN AROUS,2013.0,2021-04-20
14697,643528.948,648580.474,-647735.527,648580.474,-645901.262,"93750,001",0.0,"93750,001",1556.315978,16234.699298,,,,,,,17748.974,-14764.807,16.0,,,,JBB99,ENREGISTREMENT SONORE ET EDITION MUSICALE,JB,INFORMATION ET COMMUNICATION,TUNIS BELVEDERE,1002.0,2008-07-17
14763,10537921.988,12751571.398,-8213402.935,10673402.438,-8193284.878,"983416,026",0.0,"983416,026",439284.819652,8123.701561,,,,,,,784.35,-2047318.888,25.0,0.0,,,COC01,FABRICATION DE CARREAUX EN CERAMIQUE,CO,INDUSTRIE MANUFACTURIERE,BERGE DU LAC,1053.0,2021-12-08
14798,,0.0,-100.0,0.0,-100.0,,,,,37.917808,,,,,,,,,,,P0401,DIRIGEANTS / GERANTS D'ENTREPRISES,,,,,EL OMRANE,1005.0,2018-08-23
15112,,0.0,-107.1,0.0,-107.1,,,,,207.897008,,,,,,,,,,,,,CLA06,FABRICATION DE MATIERES PLASTIQUES DE BASE,CL,INDUSTRIE MANUFACTURIERE,DOUAR HICHER,2086.0,1989-08-04
15201,,,,,,,,,,0.0,,,,,,,,,,,,,NDB99,ACTIVITES LIEES AUX SYSTEMES DE SECURITE,ND,ACTIVITES DE SERVICES ADMINISTRATIFS ET DE SOUTIEN,MORNAGUIA,1110.0,1991-11-06
15300,,0.0,-534.429,0.0,-497.001,,,,2612.024736,0.0,,,,,,,,,,5.0,,,CFA99,FABRICATION D'AUTRES VETEMENTS ET ACCESSOIRES,CF,INDUSTRIE MANUFACTURIERE,BEN AROUS,2013.0,1958-04-05
15504,,0.0,-1214.482,0.0,-1142.853,,,,5049.299238,,,,,,,,,,,4.0,,,GBF99,COMMERCE DE GROS D'AUTRES MACHINES ET EQUIPEMENTS,GB,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,,,2022-12-06
15807,,,,,,,,,14082.753117,,,,,,,,,,,5.0,,,CEA99,PREPARATION DE FIBRES TEXTILES ET FILATURE,,,BEN AROUS,2013.0,1993-10-11
15827,,,,,,,,,,0.0,,,,,,,,,,,,,AAB99,AUTRES CULTURES PERMANENTES,AA,"AGRICULTURE, SYLVICULTURE ET PECHE",REPUBLIQUE,1001.0,1993-12-16
15842,2298049.702,2875690.966,-2895918.038,2299243.966,-2887304.933,"185400,756",0.0,"185400,756",107169.004498,5370.759961,,,,,,,424.35,-644520.234,217.0,0.0,,,NEB99,AUTRES ACTIVITES DE NETTOYAGE,NE,ACTIVITES DE SERVICES ADMINISTRATIFS ET DE SOUTIEN,EL MENZAH 5,2091.0,2023-01-20
15921,,0.0,-460.896,0.0,-275.322,3000,0.0,3000,1055.314279,,,,,,,,,,,4.0,,,AAG99,"CHASSE, PIEGEAGE ET SERVICES ANNEXES",AA,"AGRICULTURE, SYLVICULTURE ET PECHE",ARIANA,2080.0,1996-07-16
16047,,,,,,25000,0.0,25000,,45.27063,,,,,,,,,,0.0,,,AAB99,AUTRES CULTURES PERMANENTES,AA,"AGRICULTURE, SYLVICULTURE ET PECHE",REPUBLIQUE,1001.0,1992-09-29
16080,,0.0,-154.598,0.0,-148.966,,,,590.407772,,,,,,,,,,,,,,GBA02,"INTERMEDIAIRES DU COMMERCE EN COMBUSTIBLES, METAUX, MINERAUX ET PRODUITS CHIMIQUES",GB,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,EL MENZAH 1,1004.0,1991-01-08
16105,,,,,,,,,1460.186498,0.0,,,,,,,,,,,,,FCC99,AUTRES TRAVAUX DE FINITION,FC,CONSTRUCTION,TUNIS BELVEDERE,1002.0,2001-01-11
16118,,0.0,-556.068,0.0,-142.8,7235,0.0,7235,,4043.826958,,,,,,,,,,,,,GBD01,COMMERCE DE GROS DE TEXTILES,,,TUNIS MEDINA,1006.0,1992-10-23
16398,,0.0,-655.396,0.0,-615.845,,,,4044.406279,,,,,,,,,,,,,,GCA03,COMMERCE DE DETAIL DE  PRODUITS DIVERS DE L'ARTISANAT,GC,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,,,2022-12-06
16441,,0.0,-1151.815,0.0,-967.203,,,,6158.410473,,,,,,,,,,,,,,FAA99,PROMOTION IMMOBILIERE,FA,CONSTRUCTION,,,2023-02-01
